Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2014	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2015	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2016	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2017	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2018	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2019	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2020	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2021	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2022	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
2012	22	Aquidauana	NA	NA	NA	NA	NA	NA	0.018	0	0	6.0633	0	0	0	0
2013	22	Aquidauana	0.018	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2014	22	Aquidauana	0	0.009	0	0	0	0	0.009	0	0	6.0723	0	0	0	0
2015	22	Aquidauana	0.009	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2016	22	Aquidauana	0	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2017	22	Aquidauana	0	0.1098	0	0	0	0	0.1098	0	0	5.9715	0	0	0	0
2018	22	Aquidauana	0.1098	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2019	22	Aquidauana	0	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2020	22	Aquidauana	0	0.0432	0	0	0	0	0.0432	0	0	6.0381	0	0	0	0
2021	22	Aquidauana	0.0432	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2022	22	Aquidauana	0	0	0	0	0	0	0	0	0	6.0813	0	0	0	0
2012	23	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.5796	0	0	0	0
2013	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2014	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2015	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2016	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2017	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2018	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2019	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2020	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2021	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2022	23	Aquidauana	0	0	0	0	0	0	0	0	0	9.5796	0	0	0	0
2012	24	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	3.7692	0	0	0	0
2013	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2014	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2015	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2016	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2017	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2018	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2019	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2020	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2021	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2022	24	Aquidauana	0	0	0	0	0	0	0	0	0	3.7692	0	0	0	0
2012	25	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	1.9332	0	0	0	0
2013	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2014	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2015	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2016	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2017	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2018	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2019	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2020	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2021	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2022	25	Aquidauana	0	0	0	0	0	0	0	0	0	1.9332	0	0	0	0
2012	26	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	0.5598	0	0	0	0
